"","evolution.generation","evolution.evaluated","tpsAuChamp","qPrésenceBrousse","fréquenceRéu","probaDenonce","probaDiscu","nbProTGMax","objective.om_stockMil","objective.om_charette","evolution.samples","qPrésenceBrousse.1","om_underTrees","tpsAuChamp.1","participants","fréquenceRéu.1","nombreBergers","probaDiscu.1","om_nbCoupe","probaDenonce.1","mySeed","om_delatMil","SPop","om_charette","om_stockMil","nbSurveillants","nbProTGMax.1","om_trees","coordinationRNA","engagésInitiaux","nbChampsVisités","om_delatArbres","SReprez","nbCoupeurs","om_caughtCutter"
"941",33200,33200,45.9574598535669,0.848669367359644,9.13226804077342,54.4671289969741,76.6492808462857,45.4401414875771,51905.165599994,29,5,"[0.8486693673596443,0.8486693673596443,0.8486693673596443,0.8486693673596443,0.8486693673596443]","[94.12,93.89,94.42,93.08999999999999,92.69]","[45.95745985356689,45.95745985356689,45.95745985356689,45.95745985356689,45.95745985356689]","[10.0,10.0,10.0,10.0,10.0]","[9.132268040773424,9.132268040773424,9.132268040773424,9.132268040773424,9.132268040773424]","[5.0,5.0,5.0,5.0,5.0]","[76.64928084628575,76.64928084628575,76.64928084628575,76.64928084628575,76.64928084628575]","[286.0,275.0,240.0,299.0,311.0]","[54.46712899697409,54.46712899697409,54.46712899697409,54.46712899697409,54.46712899697409]","[-2075358950,-972941445,-2085946924,333498910,-1642843802]","[8644.18359999585,9032.741799996082,7515.568199996109,7675.698999996304,6943.654599996269]","[true,true,true,true,true]","[38.0,37.0,29.0,42.0,37.0]","[53590.85839999364,53527.757599993754,52865.95039999381,51905.165599993976,51910.67439999404]","[1.0,1.0,1.0,1.0,1.0]","[45.44014148757713,45.44014148757713,45.44014148757713,45.44014148757713,45.44014148757713]","[5436.0,5386.0,5558.0,5158.0,5043.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[94.0,93.0,91.0,90.0,88.0]","[4901.0,4851.0,5023.0,4623.0,4508.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[242.0,241.0,244.0,241.0,240.0]"
"991",33200,33200,39.606982424293,0,1,63.3966244350291,100,25.6349803710303,47161.087199997,35,5,"[0.0,0.0,0.0,0.0,0.0]","[52.52,52.96999999999999,58.589999999999996,55.32,57.13]","[39.606982424293015,39.606982424293015,39.606982424293015,39.606982424293015,39.606982424293015]","[10.0,10.0,10.0,10.0,10.0]","[1.0,1.0,1.0,1.0,1.0]","[5.0,5.0,5.0,5.0,5.0]","[100.0,100.0,100.0,100.0,100.0]","[549.0,585.0,592.0,569.0,561.0]","[63.39662443502907,63.39662443502907,63.39662443502907,63.39662443502907,63.39662443502907]","[-184033855,-916641121,735685145,1844524356,-937231635]","[3318.3007999992333,2139.730599999333,2227.746199998859,2475.0161999990232,2245.900199998796]","[true,true,true,true,true]","[49.0,35.0,40.0,40.0,46.0]","[48238.05759999689,47161.087199996975,47847.68399999652,47913.03839999664,47819.388799996625]","[1.0,1.0,1.0,1.0,1.0]","[25.634980371030306,25.634980371030306,25.634980371030306,25.634980371030306,25.634980371030306]","[1209.0,1206.0,1441.0,1245.0,1253.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[90.0,86.0,90.0,92.0,94.0]","[674.0,671.0,906.0,710.0,718.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[216.0,237.0,240.0,240.0,240.0]"
"1025",33200,33200,91.646002481841,0.330912675908512,2.99752187547703,46.79987380267,80.8127028040672,47.9084121510618,51337.7591999942,26,6,"[0.3309126759085123,0.3309126759085123,0.3309126759085123,0.3309126759085123,0.3309126759085123,0.3309126759085123]","[91.18,89.75999999999999,92.97,92.56,77.79,91.34]","[91.64600248184097,91.64600248184097,91.64600248184097,91.64600248184097,91.64600248184097,91.64600248184097]","[10.0,10.0,10.0,10.0,10.0,10.0]","[2.9975218754770347,2.9975218754770347,2.9975218754770347,2.9975218754770347,2.9975218754770347,2.9975218754770347]","[5.0,5.0,5.0,5.0,5.0,5.0]","[80.81270280406724,80.81270280406724,80.81270280406724,80.81270280406724,80.81270280406724,80.81270280406724]","[251.0,229.0,247.0,257.0,540.0,264.0]","[46.799873802669985,46.799873802669985,46.799873802669985,46.799873802669985,46.799873802669985,46.799873802669985]","[-1674572883,-1002252042,458286333,-1110218177,202783695,1696429485]","[6734.257599996468,7724.339199996306,8125.855599996183,7963.533799996039,6891.07059999706,7151.611799996412]","[true,true,true,true,true,true]","[38.0,26.0,39.0,32.0,32.0,40.0]","[52289.02879999419,53137.63439999394,52678.90159999383,53601.12479999374,52204.1431999948,51337.759199994245]","[1.0,1.0,1.0,1.0,1.0,1.0]","[47.908412151061846,47.908412151061846,47.908412151061846,47.908412151061846,47.908412151061846,47.908412151061846]","[5169.0,4740.0,4965.0,4967.0,2249.0,4596.0]","[true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0]","[88.0,93.0,91.0,96.0,91.0,87.0]","[4634.0,4205.0,4430.0,4432.0,1714.0,4061.0]","[false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0]","[244.0,244.0,244.0,244.0,203.0,241.0]"
"1072",33200,33200,66.6506137536306,0,10,0,42.0497052075457,12.561948371827,45564.7871999975,44,5,"[0.0,0.0,0.0,0.0,0.0]","[47.4,44.45,47.52,46.93,48.4]","[66.65061375363057,66.65061375363057,66.65061375363057,66.65061375363057,66.65061375363057]","[10.0,10.0,10.0,10.0,10.0]","[10.0,10.0,10.0,10.0,10.0]","[5.0,5.0,5.0,5.0,5.0]","[42.049705207545685,42.049705207545685,42.049705207545685,42.049705207545685,42.049705207545685]","[852.0,787.0,829.0,811.0,773.0]","[0.0,0.0,0.0,0.0,0.0]","[940563300,-1441307745,-1035210481,2039689871,967634839]","[1078.222399999635,148.9253999998764,938.8121999997093,987.452400000031,1313.4105999996827]","[true,true,true,true,true]","[47.0,45.0,44.0,46.0,49.0]","[46285.18799999729,45564.787199997474,46172.25759999738,46153.477599997634,47058.67359999731]","[1.0,1.0,1.0,1.0,1.0]","[12.561948371826986,12.561948371826986,12.561948371826986,12.561948371826986,12.561948371826986]","[650.0,594.0,631.0,652.0,632.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[87.0,90.0,89.0,94.0,90.0]","[115.0,59.0,96.0,117.0,97.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[196.0,196.0,229.0,190.0,191.0]"
"1089",33200,33200,80.8217478262379,0,5.30250975969494,37.3460349012866,69.7145567365689,25.6018942008094,46765.7055999969,34,6,"[0.0,0.0,0.0,0.0,0.0,0.0]","[60.84,60.06,61.160000000000004,58.099999999999994,60.260000000000005,57.03]","[80.82174782623788,80.82174782623788,80.82174782623788,80.82174782623788,80.82174782623788,80.82174782623788]","[10.0,10.0,10.0,10.0,10.0,10.0]","[5.302509759694936,5.302509759694936,5.302509759694936,5.302509759694936,5.302509759694936,5.302509759694936]","[5.0,5.0,5.0,5.0,5.0,5.0]","[69.71455673656894,69.71455673656894,69.71455673656894,69.71455673656894,69.71455673656894,69.71455673656894]","[434.0,459.0,443.0,444.0,418.0,463.0]","[37.346034901286586,37.346034901286586,37.346034901286586,37.346034901286586,37.346034901286586,37.346034901286586]","[-2055207171,-1053986192,-1968362658,-507471447,1368519480,-469318035]","[4179.801999998694,3373.639199998761,2581.373599998973,1855.2135999991806,2914.5933999985136,2314.259399998744]","[true,true,true,true,true,true]","[42.0,37.0,34.0,47.0,44.0,42.0]","[49162.78479999627,48420.59919999637,48084.812799996536,46765.70559999689,47886.99679999627,47283.282399996446]","[1.0,1.0,1.0,1.0,1.0,1.0]","[25.601894200809436,25.601894200809436,25.601894200809436,25.601894200809436,25.601894200809436,25.601894200809436]","[1569.0,1614.0,1730.0,1543.0,1494.0,1521.0]","[true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0]","[90.0,91.0,92.0,89.0,91.0,94.0]","[1034.0,1079.0,1195.0,1008.0,959.0,986.0]","[false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0]","[238.0,239.0,240.0,240.0,240.0,240.0]"
"1123",33200,33200,84.9242576321036,0.961128362887523,2.45333139885153,55.0624142267966,79.5938187697005,10.3208885965312,48371.0199999962,33,8,"[0.9611283628875235,0.9611283628875235,0.9611283628875235,0.9611283628875235,0.9611283628875235,0.9611283628875235,0.9611283628875235,0.9611283628875235]","[73.98,73.24000000000001,73.59,72.72,71.16,68.47,70.73,72.52]","[84.92425763210365,84.92425763210365,84.92425763210365,84.92425763210365,84.92425763210365,84.92425763210365,84.92425763210365,84.92425763210365]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[2.453331398851533,2.453331398851533,2.453331398851533,2.453331398851533,2.453331398851533,2.453331398851533,2.453331398851533,2.453331398851533]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[79.5938187697005,79.5938187697005,79.5938187697005,79.5938187697005,79.5938187697005,79.5938187697005,79.5938187697005,79.5938187697005]","[83.0,83.0,91.0,74.0,86.0,83.0,80.0,78.0]","[55.06241422679656,55.06241422679656,55.06241422679656,55.06241422679656,55.06241422679656,55.06241422679656,55.06241422679656,55.06241422679656]","[1993625900,223183582,199183075,-2010312510,725699298,-1672537341,-1794641716,1598015225]","[4119.7059999980775,5014.57299999769,4727.301599997954,5187.787199998034,5233.61039999799,4088.8441999984934,5102.400799998293,3049.684199997966]","[true,true,true,true,true,true,true,true]","[42.0,42.0,45.0,33.0,40.0,41.0,34.0,38.0]","[49020.807999995675,50473.37839999543,49633.28639999566,49675.60399999574,50863.75199999572,48371.01999999622,49678.85919999584,48727.58959999563]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[10.320888596531221,10.320888596531221,10.320888596531221,10.320888596531221,10.320888596531221,10.320888596531221,10.320888596531221,10.320888596531221]","[1796.0,1742.0,1658.0,1662.0,1774.0,1642.0,1657.0,1719.0]","[true,true,true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0]","[95.0,92.0,90.0,90.0,92.0,94.0,91.0,90.0]","[1261.0,1207.0,1123.0,1127.0,1239.0,1107.0,1122.0,1184.0]","[false,false,false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[244.0,249.0,250.0,250.0,249.0,247.0,250.0,249.0]"
"1268",33200,33200,0,0.227023970666405,5.55967488787296,31.5090251330811,71.8757450897682,37.3200709329278,42407.2431999981,43,7,"[0.2270239706664052,0.2270239706664052,0.2270239706664052,0.2270239706664052,0.2270239706664052,0.2270239706664052,0.2270239706664052]","[30.520000000000003,29.5,28.139999999999997,28.549999999999997,30.580000000000002,32.78,29.87]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[5.559674887872959,5.559674887872959,5.559674887872959,5.559674887872959,5.559674887872959,5.559674887872959,5.559674887872959]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[71.87574508976822,71.87574508976822,71.87574508976822,71.87574508976822,71.87574508976822,71.87574508976822,71.87574508976822]","[706.0,654.0,595.0,694.0,671.0,711.0,707.0]","[31.50902513308115,31.50902513308115,31.50902513308115,31.50902513308115,31.50902513308115,31.50902513308115,31.50902513308115]","[622455511,985637322,-255768452,1326566871,293061738,-1381089662,1966236118]","[-2365.779199999539,-1075.0297999994946,-2031.8707999995095,-1843.882999999485,-2940.008999999649,-1987.6751999996195,-963.8521999994482]","[true,true,true,true,true,true,true]","[49.0,43.0,50.0,48.0,51.0,49.0,49.0]","[42665.906399998115,44243.67679999821,43093.088799998164,43140.915199998104,42407.243199998054,43313.69119999813,43551.82159999817]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[37.32007093292782,37.32007093292782,37.32007093292782,37.32007093292782,37.32007093292782,37.32007093292782,37.32007093292782]","[256.0,262.0,258.0,221.0,273.0,276.0,264.0]","[true,true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0]","[92.0,92.0,91.0,89.0,93.0,91.0,90.0]","[-279.0,-273.0,-277.0,-314.0,-262.0,-259.0,-271.0]","[false,false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[199.0,200.0,200.0,199.0,231.0,200.0,199.0]"
"1287",33200,33200,69.4448981582061,0.739269717810841,4.93443364218134,12.5153393505247,100,5.25013837852019,46157.4839999971,39,5,"[0.7392697178108408,0.7392697178108408,0.7392697178108408,0.7392697178108408,0.7392697178108408]","[51.5,51.73,52.0,48.309999999999995,52.11]","[69.44489815820606,69.44489815820606,69.44489815820606,69.44489815820606,69.44489815820606]","[10.0,10.0,10.0,10.0,10.0]","[4.934433642181345,4.934433642181345,4.934433642181345,4.934433642181345,4.934433642181345]","[5.0,5.0,5.0,5.0,5.0]","[100.0,100.0,100.0,100.0,100.0]","[670.0,677.0,671.0,646.0,605.0]","[12.515339350524707,12.515339350524707,12.515339350524707,12.515339350524707,12.515339350524707]","[-996692492,475130840,1347499629,-654447302,138736429]","[1281.2341999995624,1023.5725999994102,1681.8741999993144,1193.781999999439,245.1415999993842]","[true,true,true,true,true]","[49.0,45.0,45.0,39.0,47.0]","[46994.82159999722,46545.103199997095,46810.02639999704,46157.483999997115,46328.00639999701]","[1.0,1.0,1.0,1.0,1.0]","[5.2501383785201945,5.2501383785201945,5.2501383785201945,5.2501383785201945,5.2501383785201945]","[660.0,667.0,725.0,695.0,746.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[95.0,92.0,94.0,88.0,97.0]","[125.0,132.0,190.0,160.0,211.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[210.0,210.0,210.0,214.0,213.0]"
"1290",33200,33200,73.0156293641663,0,1,2.73128788505053,81.5303225337302,24.2434342370406,46488.5127999967,39,5,"[0.0,0.0,0.0,0.0,0.0]","[53.239999999999995,48.26,55.22,55.54,51.94]","[73.01562936416632,73.01562936416632,73.01562936416632,73.01562936416632,73.01562936416632]","[10.0,10.0,10.0,10.0,10.0]","[1.0,1.0,1.0,1.0,1.0]","[5.0,5.0,5.0,5.0,5.0]","[81.53032253373019,81.53032253373019,81.53032253373019,81.53032253373019,81.53032253373019]","[671.0,842.0,704.0,683.0,578.0]","[2.731287885050532,2.731287885050532,2.731287885050532,2.731287885050532,2.731287885050532]","[1385931637,-215037558,-718188476,-2099573958,-1301852799]","[1979.9127999989287,2320.3315999993356,2938.318799999135,2089.5253999991546,1560.4301999991294]","[true,true,true,true,true]","[44.0,44.0,41.0,45.0,39.0]","[47497.374399996625,47452.30239999705,48122.12239999683,46488.51279999674,46759.94639999685]","[1.0,1.0,1.0,1.0,1.0]","[24.243434237040574,24.243434237040574,24.243434237040574,24.243434237040574,24.243434237040574]","[1011.0,691.0,1165.0,1162.0,1161.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[92.0,94.0,95.0,92.0,89.0]","[476.0,156.0,630.0,627.0,626.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[208.0,177.0,211.0,210.0,239.0]"
"1297",33200,33200,94.1678255977681,0.746969915990367,6.25019602706058,17.7619957750511,94.6100822347945,19.5168461171767,49588.9655999959,34,6,"[0.7469699159903669,0.7469699159903669,0.7469699159903669,0.7469699159903669,0.7469699159903669,0.7469699159903669]","[69.28,83.82,82.52000000000001,84.77,81.25,83.26]","[94.16782559776811,94.16782559776811,94.16782559776811,94.16782559776811,94.16782559776811,94.16782559776811]","[10.0,10.0,10.0,10.0,10.0,10.0]","[6.2501960270605785,6.2501960270605785,6.2501960270605785,6.2501960270605785,6.2501960270605785,6.2501960270605785]","[5.0,5.0,5.0,5.0,5.0,5.0]","[94.61008223479453,94.61008223479453,94.61008223479453,94.61008223479453,94.61008223479453,94.61008223479453]","[1276.0,307.0,416.0,398.0,374.0,358.0]","[17.761995775051076,17.761995775051076,17.761995775051076,17.761995775051076,17.761995775051076,17.761995775051076]","[1529417155,-282203617,-1263154473,-775358667,-1131913889,-507028448]","[4032.754599998334,6226.321199996899,6240.218399997189,7097.400199996671,6192.391999997308,6809.377599997097]","[true,true,true,true,true,true]","[34.0,34.0,37.0,36.0,39.0,34.0]","[49588.96559999587,51286.677599994575,51545.34079999488,51926.44959999442,50998.96799999498,51455.697599994855]","[1.0,1.0,1.0,1.0,1.0,1.0]","[19.51684611717669,19.51684611717669,19.51684611717669,19.51684611717669,19.51684611717669,19.51684611717669]","[1447.0,2873.0,2721.0,2775.0,2887.0,2882.0]","[true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0]","[88.0,92.0,91.0,94.0,91.0,90.0]","[912.0,2338.0,2186.0,2240.0,2352.0,2347.0]","[false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0]","[176.0,240.0,240.0,240.0,241.0,241.0]"
"1308",33200,33200,37.5142388233857,0.630606528165193,5.22894274931989,40.2603932054222,18.5460601527986,50,42335.3783999981,37,5,"[0.6306065281651934,0.6306065281651934,0.6306065281651934,0.6306065281651934,0.6306065281651934]","[30.91,25.06,26.02,27.61,27.67]","[37.51423882338572,37.51423882338572,37.51423882338572,37.51423882338572,37.51423882338572]","[10.0,10.0,10.0,10.0,10.0]","[5.228942749319889,5.228942749319889,5.228942749319889,5.228942749319889,5.228942749319889]","[5.0,5.0,5.0,5.0,5.0]","[18.546060152798624,18.546060152798624,18.546060152798624,18.546060152798624,18.546060152798624]","[1104.0,942.0,920.0,1014.0,909.0]","[40.260393205422204,40.260393205422204,40.260393205422204,40.260393205422204,40.260393205422204]","[89686451,1278548111,-1168975257,889282019,-1202662503]","[-2298.9223999995374,-2579.0573999994667,-1804.9457999994993,-3287.626799999518,-1789.6713999993808]","[true,true,true,true,true]","[37.0,57.0,50.0,49.0,51.0]","[42972.39599999818,42884.00479999831,43199.007999998175,42335.37839999811,43618.678399998375]","[1.0,1.0,1.0,1.0,1.0]","[50.0,50.0,50.0,50.0,50.0]","[250.0,136.0,176.0,175.0,175.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[92.0,89.0,95.0,90.0,92.0]","[-285.0,-399.0,-359.0,-360.0,-360.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[36.0,45.0,35.0,45.0,31.0]"
"1447",33200,33200,100,0.738811875636675,9.61636079310379,2.08351739632326,35.7965809726374,11.9413918093409,46880.3887999968,36,5,"[0.738811875636675,0.738811875636675,0.738811875636675,0.738811875636675,0.738811875636675]","[58.08,62.32,60.84,62.89,57.60999999999999]","[100.0,100.0,100.0,100.0,100.0]","[10.0,10.0,10.0,10.0,10.0]","[9.61636079310379,9.61636079310379,9.61636079310379,9.61636079310379,9.61636079310379]","[5.0,5.0,5.0,5.0,5.0]","[35.79658097263742,35.79658097263742,35.79658097263742,35.79658097263742,35.79658097263742]","[839.0,829.0,905.0,946.0,822.0]","[2.0835173963232574,2.0835173963232574,2.0835173963232574,2.0835173963232574,2.0835173963232574]","[-1851220332,1258831042,-584402449,-187408498,-265023491]","[3518.4955999989033,4208.347599998822,1858.2809999991878,2261.1119999989023,2871.086399999149]","[true,true,true,true,true]","[43.0,36.0,48.0,39.0,44.0]","[48459.66159999657,49062.12399999643,47408.23199999677,47158.33279999658,46880.38879999681]","[1.0,1.0,1.0,1.0,1.0]","[11.941391809340875,11.941391809340875,11.941391809340875,11.941391809340875,11.941391809340875]","[964.0,1098.0,1025.0,1051.0,994.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[92.0,92.0,92.0,86.0,95.0]","[429.0,563.0,490.0,516.0,459.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[166.0,170.0,170.0,177.0,158.0]"
"1558",33200,33200,47.2721416121163,0.781619872244763,3.75067794110515,56.7011840773854,59.6547607581875,49.6245915348165,46445.9447999972,33,5,"[0.7816198722447635,0.7816198722447635,0.7816198722447635,0.7816198722447635,0.7816198722447635]","[57.52,90.13,69.26,55.31,47.510000000000005]","[47.27214161211627,47.27214161211627,47.27214161211627,47.27214161211627,47.27214161211627]","[10.0,10.0,10.0,10.0,10.0]","[3.750677941105152,3.750677941105152,3.750677941105152,3.750677941105152,3.750677941105152]","[5.0,5.0,5.0,5.0,5.0]","[59.654760758187464,59.654760758187464,59.654760758187464,59.654760758187464,59.654760758187464]","[569.0,291.0,581.0,637.0,571.0]","[56.70118407738538,56.70118407738538,56.70118407738538,56.70118407738538,56.70118407738538]","[1080438437,1572866322,911919177,-1197868333,-59036295]","[2750.2057999988465,7170.20399999644,5415.901599997582,2827.0785999989894,1334.0059999994046]","[true,true,true,true,true]","[43.0,33.0,35.0,39.0,43.0]","[48001.93039999661,52383.42959999422,50638.892799995265,48064.78079999674,46445.9447999972]","[1.0,1.0,1.0,1.0,1.0]","[49.62459153481646,49.62459153481646,49.62459153481646,49.62459153481646,49.62459153481646]","[1061.0,4529.0,1640.0,1075.0,725.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[91.0,92.0,94.0,91.0,92.0]","[526.0,3994.0,1105.0,540.0,190.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[182.0,242.0,170.0,185.0,148.0]"
"1579",33200,33200,56.7583863807809,0.772195252085963,3.68957539864143,96.5326075968694,94.9096538993815,43.7456167732858,51390.0927999943,19,5,"[0.7721952520859627,0.7721952520859627,0.7721952520859627,0.7721952520859627,0.7721952520859627]","[92.08,93.03,93.22,93.12,94.01]","[56.758386380780856,56.758386380780856,56.758386380780856,56.758386380780856,56.758386380780856]","[10.0,10.0,10.0,10.0,10.0]","[3.689575398641426,3.689575398641426,3.689575398641426,3.689575398641426,3.689575398641426]","[5.0,5.0,5.0,5.0,5.0]","[94.9096538993815,94.9096538993815,94.9096538993815,94.9096538993815,94.9096538993815]","[71.0,96.0,106.0,73.0,85.0]","[96.53260759686937,96.53260759686937,96.53260759686937,96.53260759686937,96.53260759686937]","[415608288,-886397764,1312785785,542317315,883919701]","[6228.449599996551,8783.96939999624,7622.301199996269,8428.08839999605,8247.800399996035]","[true,true,true,true,true]","[40.0,30.0,33.0,20.0,19.0]","[51390.09279999427,53327.93839999391,52389.4391999939,53563.06399999368,53094.06479999371]","[1.0,1.0,1.0,1.0,1.0]","[43.7456167732858,43.7456167732858,43.7456167732858,43.7456167732858,43.7456167732858]","[5191.0,5186.0,5142.0,5212.0,5603.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[92.0,86.0,91.0,93.0,92.0]","[4656.0,4651.0,4607.0,4677.0,5068.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[249.0,250.0,249.0,249.0,250.0]"
"1607",33200,33200,79.176318060087,0,10,24.5868684863695,62.2333560198792,5.20224634552758,44588.9783999977,38,5,"[0.0,0.0,0.0,0.0,0.0]","[37.580000000000005,38.98,39.879999999999995,40.660000000000004,41.06]","[79.17631806008697,79.17631806008697,79.17631806008697,79.17631806008697,79.17631806008697]","[10.0,10.0,10.0,10.0,10.0]","[10.0,10.0,10.0,10.0,10.0]","[5.0,5.0,5.0,5.0,5.0]","[62.233356019879224,62.233356019879224,62.233356019879224,62.233356019879224,62.233356019879224]","[680.0,629.0,666.0,568.0,636.0]","[24.58686848636954,24.58686848636954,24.58686848636954,24.58686848636954,24.58686848636954]","[192532365,1456072412,1488761154,-282098143,-1089492704]","[-799.2767999996431,-403.8326000000525,514.8224000000992,158.00240000001213,-660.8056000001307]","[true,true,true,true,true]","[46.0,48.0,45.0,45.0,38.0]","[45047.71119999805,45394.26479999762,44937.78559999782,45501.185599997705,44588.97839999767]","[1.0,1.0,1.0,1.0,1.0]","[5.202246345527584,5.202246345527584,5.202246345527584,5.202246345527584,5.202246345527584]","[388.0,401.0,407.0,411.0,465.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[93.0,89.0,90.0,92.0,91.0]","[-147.0,-134.0,-128.0,-124.0,-70.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[210.0,211.0,210.0,210.0,216.0]"
"1629",33200,33200,88.1006211982517,0,9.64240561620441,61.8465603232801,19.6005789128409,37.0808049534297,46574.3999999965,33,5,"[0.0,0.0,0.0,0.0,0.0]","[54.510000000000005,58.8,64.07000000000001,58.10999999999999,61.28]","[88.10062119825174,88.10062119825174,88.10062119825174,88.10062119825174,88.10062119825174]","[10.0,10.0,10.0,10.0,10.0]","[9.642405616204414,9.642405616204414,9.642405616204414,9.642405616204414,9.642405616204414]","[5.0,5.0,5.0,5.0,5.0]","[19.600578912840913,19.600578912840913,19.600578912840913,19.600578912840913,19.600578912840913]","[774.0,496.0,315.0,406.0,373.0]","[61.846560323280094,61.846560323280094,61.846560323280094,61.846560323280094,61.846560323280094]","[-1906131285,-218717973,-811708594,-1268979127,-1180517666]","[2330.660599999006,1517.1109999990585,3569.6397999985056,2564.0333999989234,3575.899799998646]","[true,true,true,true,true]","[38.0,33.0,37.0,46.0,47.0]","[47543.447999996715,46574.399999996545,48818.48479999612,47331.859999996675,48264.09919999627]","[1.0,1.0,1.0,1.0,1.0]","[37.08080495342974,37.08080495342974,37.08080495342974,37.08080495342974,37.08080495342974]","[1286.0,1616.0,1933.0,1633.0,1786.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[92.0,93.0,91.0,91.0,90.0]","[751.0,1081.0,1398.0,1098.0,1251.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[215.0,234.0,240.0,235.0,240.0]"
"1656",33200,33200,77.0088072124239,0.983022745753798,1,76.5079795449969,70.2252618112862,34.4248226497106,50944.1303999947,19,5,"[0.9830227457537981,0.9830227457537981,0.9830227457537981,0.9830227457537981,0.9830227457537981]","[84.26,87.69,86.25,85.49,84.31]","[77.00880721242393,77.00880721242393,77.00880721242393,77.00880721242393,77.00880721242393]","[10.0,10.0,10.0,10.0,10.0]","[1.0,1.0,1.0,1.0,1.0]","[5.0,5.0,5.0,5.0,5.0]","[70.22526181128625,70.22526181128625,70.22526181128625,70.22526181128625,70.22526181128625]","[58.0,53.0,54.0,82.0,79.0]","[76.50797954499686,76.50797954499686,76.50797954499686,76.50797954499686,76.50797954499686]","[-1163152913,-830611372,76795947,37101116,-1527380126]","[6244.349999996877,6638.792599996588,5839.327999997055,6525.674399997057,6388.32999999731]","[true,true,true,true,true]","[19.0,28.0,31.0,33.0,42.0]","[51045.542399994636,52279.51359999428,50944.13039999468,51258.13199999473,51396.102399994954]","[1.0,1.0,1.0,1.0,1.0]","[34.424822649710634,34.424822649710634,34.424822649710634,34.424822649710634,34.424822649710634]","[3978.0,3791.0,3720.0,3397.0,3398.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[89.0,91.0,92.0,88.0,91.0]","[3443.0,3256.0,3185.0,2862.0,2863.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[250.0,250.0,249.0,250.0,250.0]"
